Genus,Species,id,Region,Locality,Country,Lat,Long,Pop,DART,Notes,Order no.,collection date,sex,latitude,lat (M),lat (DD),longitude,long (M),long (DD)
Aipysurus,laevis,R37025,Gulf of Carpentaria,Sir Edward Pellew Group,Australia,,,,yes,,DNote22-7151,,,,,-15.65,,,137.983333
Aipysurus,laevis,R37027,Gulf of Carpentaria,Vanderlin Island,Australia,,,,yes,,DNote22-7151,,,,,-15.416667,,,137.783333
Hydrophis,major,R37031,Gulf of Carpentaria,Northwest of Mornington Island,Australia,,,,yes,,DNote20-5178,12/8/2009,,15,45,-15.75,138,21,138.35
Aipysurus,laevis,R37032,Gulf of Carpentaria,Mornington Island,Australia,,,,yes,,DNote22-7151,,,,,-15.966667,,,139.233333
Aipysurus,laevis,R37034,Gulf of Carpentaria,Mornington Island,Australia,,,,yes,,DNote22-7151,,,,,-15.983333,,,139.25
Hydrophis,major,R37037,Gulf of Carpentaria,"The Border, E of Sir Edward Pellew Group",Australia,,,,yes,,DNote20-5178,7/10/2009,,15,40,-15.66666667,137,50,137.8333333
Aipysurus,laevis,R37101,Gulf of Carpentaria,Groote Eylandt,Australia,,,,yes,,DNote22-7151,,,,,-13.016667,,,136.8
Aipysurus,laevis,R37113,Gulf of Carpentaria,Regan Shoal,Australia,,,,yes,,DNote22-7151,,,,,-12.576833,,,136.9493
Aipysurus,laevis,R37116,Gulf of Carpentaria,Sir Edward Pellew Group,Australia,,,,yes,,DNote22-7151,,,,,-15.666667,,,137.833333
Aipysurus,laevis,R37122,Gulf of Carpentaria,Mornington Island,Australia,,,,yes,,DNote22-7151,,,,,-15.59,,,139.32
Aipysurus,laevis,R37128,Gulf of Carpentaria,Mornington Island,Australia,,,,yes,,DNote22-7151,,,,,-15.983333,,,139.533333
Hydrophis,major,R37138,Gulf of Carpentaria,North of Mornington Island,Australia,,,,yes,,DNote20-5178,6/8/2009,,15,55,-15.91666667,139,17,139.2833333
Aipysurus,laevis,R37140,Gulf of Carpentaria,Mornington Island,Australia,,,,yes,,DNote22-7151,,,,,-16.333333,,,136.6
Aipysurus,laevis,SS170808-01,Pilbara,Locker Point,Australia,,,,Contam,,DNote21-6332,8/8/2017,,,,-21.50888,,,114.711945
Aipysurus,laevis,SS170808-06,Pilbara,Locker Point,Australia,,,,yes,,DNote22-7151,8/8/2017,,,,-21.55711,,,114.69176
Hydrophis,major,SS170809_02,Pilbara,,Australia,,,,yes,,DNote20-5178,,,,,,,,
Aipysurus,laevis,SS170809-01,Pilbara,Locker Point,Australia,,,,yes,,DNote22-7151,9/8/2017,,,,-21.477015,,,114.704675
Aipysurus,laevis,SS170809-03,Pilbara,Locker Point,Australia,,,,yes,,DNote22-7151,9/8/2017,,,,-21.52123,,,114.72207
Aipysurus,laevis,SS170810-01,Pilbara,Locker Point,Australia,,,,yes,,DNote22-7151,10/8/2017,,,,-21.68917,,,114.73473
Hydrophis,major,SS170812_01,Pilbara,,Australia,,,,yes,,DNote20-5178,,,,,,,,
Hydrophis,stokesii,SS170812-02,Pilbara,Cape Preston,Australia,,,,,,DNote21-6332,12/8/2017,,,,-20.80543,,,115.984265
Hydrophis,stokesii,SS170812-02,Pilbara,Cape Preston,Australia,,,,,failed qc,DNote22-7151,12/8/2017,,,,-20.80543,,,115.984265
Aipysurus,laevis,SS170813-01,Pilbara,Cape Preston,Australia,,,,yes,,DNote22-7151,13/8/2017,,,,-20.74362,,,116.11592
Hydrophis,major,SS170814_02,Pilbara,,Australia,,,,yes,,DNote20-5178,,,,,,,,
Hydrophis,stokesii,SS170814-01,Pilbara,Cape Preston,Australia,,,,yes,,DNote21-6332,14/8/2017,,,,-20.85746,,,116.10578
Aipysurus,laevis,SS170815-01,Pilbara,Cape Preston,Australia,,,,yes,,DNote22-7151,15/8/2017,,,,-20.81831,,,116.20197
Aipysurus,laevis,SS170815-03,Pilbara,Cape Preston,Australia,,,,yes,,DNote22-7151,15/8/2017,,,,-20.78315,,,116.24828
Aipysurus,laevis,SS170815-04,Pilbara,Cape Preston,Australia,,,,yes,,DNote22-7151,15/8/2017,,,,-20.78377,,,116.24638
Aipysurus,laevis,SS170816-01,Pilbara,Cape Preston,Australia,,,,yes,,DNote21-6332,16/8/2017,,,,-20.86957,,,116.16207
Aipysurus,laevis,SS170816-01,Pilbara,Cape Preston,Australia,,,,,,DNote22-7151,16/8/2017,,,,-20.86957,,,116.16207
Hydrophis,major,SS170818_01,Pilbara,,Australia,,,,yes,,DNote20-5178,,,,,,,,
Hydrophis,major,SS170820_01,Pilbara,,Australia,,,,failed,,DNote20-5178,,,,,,,,
Aipysurus,laevis,SS170820-01,Pilbara,,Australia,Cape Keraudren,,,,,DNote21-6332,20/8/2017,,,,-19.743255,,,119.7372
Hydrophis,stokesii,SS170820-02,Eighty Mile Beach,Pilbara,Australia,Cape Keraudren,,,yes,,DNote22-7151,20/8/2017,,,,-19.74386,,,119.735535
Aipysurus,laevis,SS170820-05,Eighty Mile Beach,Pilbara,Australia,Cape Keraudren,,,yes,,DNote22-7151,20/8/2017,,,,-19.723,,,119.747375
Aipysurus,laevis,SS170822-01,Eighty Mile Beach,Pilbara,Australia,Cape Keraudren,,,yes,,DNote22-7151,22/8/2017,,,,-19.75854,,,119.87187
Aipysurus,laevis,SS170822-02,Eighty Mile Beach,Pilbara,Australia,Cape Keraudren,,,Contam,,DNote22-7151,22/8/2017,,,,-19.79095,,,119.94598
Aipysurus,laevis,SS170822-03,Eighty Mile Beach,Pilbara,Australia,Cape Keraudren,,,yes,,DNote22-7151,22/8/2017,,,,-19.78478,,,119.94202
Aipysurus,laevis,SS171011-02,Pilbara,,Australia,OM20,,,yes,,DNote22-7151,11/10/2017,,,,-18.7128665,,,121.0250295
Aipysurus,laevis,SS171011-03,Eighty Mile Beach,Pilbara,Australia,OM20,,,yes,,DNote22-7151,11/10/2017,,,,-18.7128665,,,121.0250295
Aipysurus,laevis,SS171018-02,Pilbara,,Australia,W10,,,yes,,DNote22-7151,18/10/2017,,,,-20.157877,,,117.9239895
Aipysurus,tenuis,SS171020-04,Pilbara,,Australia,,,,yes,,DNote21-6332,,,,,,,,
Hydrophis,major,SS171024_01,Pilbara,,Australia,,,,yes,,DNote20-5178,,,,,,,,
Aipysurus,laevis,SS171025-01,Pilbara,W51,Australia,,,,yes,,DNote22-7151,25/10/2017,,,,-20.2095,,,116.4369
Aipysurus,laevis,SS171025-02,Pilbara,W84,Australia,,,,Contam,,DNote22-7151,25/10/2017,,,,-20.06495,,,116.3441
Aipysurus,laevis,SS171104-01,Pilbara,W18,Australia,,,,yes,,DNote22-7151,4/11/2017,,,,-20.50535,,,116.0066
Aipysurus,laevis,SS171105-01,Pilbara,W2,Australia,,,,Contam,,DNote22-7151,5/11/2017,,,,-20.57125,,,116.05345
Aipysurus,laevis,SS171106-02,Pilbara,W14,Australia,,,,yes,,DNote22-7151,6/11/2017,,,,-20.3471,,,115.7385
Aipysurus,laevis,SS171106-03,Pilbara,W3,Australia,,,,yes,,DNote22-7151,6/11/2017,,,,-20.56015,,,116.14285
Aipysurus,laevis,UAE275,,,Australia,,,,,Definitely not laevis,DNote22-7151,,,,,,,,
Hydrophis,stokesii,VU116,Heywood Shoal,,Australia,,,,yes,,DNote22-7151,9/9/2018,M,,,-13.29063333,,,125.7573833
Aipysurus,laevis,VU121,Heywood Shoal,,Australia,,,,yes,,DNote21-6332,13/9/2018,F,,,-13.44941667,,,124.0430833
Hydrophis,stokesii,VU127,Heywood Shoal,,Australia,,,,yes,,DNote21-6332,13/9/2018,Juv,,,,,,
Aipysurus,laevis,VU130,Heywood Shoal,,Australia,,,,yes,,DNote21-6332,13/9/2018,F,,,-13.46833333,,,124.0384667
